feature_name	feature_type	data_type	feature_meanin	possible_values
motorCycle	numerical	int	Derived feature to indicate how many motorcycles were involved in the crash.	
otherVehicleType	numerical	int	Derived feature to indicate how many other vehicles (not included in any other category) were involved in the crash.	
schoolBus	numerical	int	Derived feature to indicate how many school buses were involved in the crash.	
suv	numerical	int	Derived feature to indicate how many SUVs were involved in the crash.	
taxi	numerical	int	Derived feature to indicate how many taxis were involved in the crash.	
truck	numerical	int	Derived feature to indicate how many trucks were involved in the crash.	
unknownVehicleType	numerical	int	Derived feature to indicate how many vehicles were involved in the crash (where the vehicle type is unknown).	
vanOrUtility	numerical	int	Derived feature to indicate how many vans or utes were involved in the crash.	
pedestrian	numerical	int	"Derived feature to indicate how many pedestrians were involved in the crash. This includes pedestrians on skateboards, scooters and wheelchairs."	
				
				
				
				
